Jobs_per_ 1Minute,Jobs_per_ 5 Minutes,Jobs_per_ 15Minutes,Mem capacity,Disk_capacity_GB,Num_of_CPU_Cores,CPU_speed_per_Core,Avg_Recieve_Kbps,Avg_Transmit_Kbps,Class_Name
8.545,8.091,8.455,12,128.72872,6,1,31.248,31.248,'Very Low'
4.3,5.2,6.1,12,128.72872,6,1,31.248,31.248,'Very Low'
5.091,5.455,6.273,12,128.72872,6,1,31.248,31.248,'Very Low'
5.9,5.6,6.1,12,128.72872,6,1,31.248,31.248,'Very Low'
4.455,5.364,6.091,12,128.72872,6,1,31.248,31.248,'Very Low'
4.636,5.273,5.818,12,128.72872,6,1,31.248,31.248,'Very Low'
5.2,5.2,5.9,12,128.72872,6,1,31.248,31.248,'Very Low'
6.273,8.364,10.364,12,128.72872,6,1,31.248,31.248,'Very Low'
10.364,9.0,7.909,12,128.72872,6,1,31.248,31.248,'Low'
3.7,4.6,5.4,12,128.72872,6,1,31.248,31.248,'Very Low'
4.636,5.091,5.455,12,128.72872,6,1,31.248,31.248,'Very Low'
4.909,5.0,5.545,12,128.72872,6,1,31.248,31.248,'Very Low'
4.6,4.8,5.8,12,128.72872,6,1,31.248,31.248,'Very Low'
6.182,6.909,7.636,12,128.72872,6,1,31.248,31.248,'Very Low'
7.9,7.6,8.1,12,128.72872,6,1,31.248,31.248,'Very Low'
6.273,7.364,8.545,12,128.72872,6,1,31.248,31.248,'Very Low'
13.727,14.182,15.727,12,128.72872,6,1,31.248,31.248,'Very Low'
12.5,13.6,14.0,12,128.72872,6,1,31.248,31.248,'Very Low'
9.1,9.8,11.0,12,128.72872,6,1,31.248,31.248,'Low'
11.909,12.273,13.364,12,128.72872,6,1,31.248,31.248,'Low'
12.5,13.5,13.7,12,128.72872,6,1,31.248,31.248,'Low'
8.7,9.8,10.0,12,128.72872,6,1,31.248,31.248,'Very Low'
7.091,7.636,7.818,12,128.72872,6,1,31.248,31.248,'Very Low'
4.545,5.364,5.545,12,128.72872,6,1,31.248,31.248,'Very Low'
